Temperatura,Coeficiente de Resfriamento,Máximo de Iterações,Execução,Função Objetivo,Tempo (ms)
10000,0.75,10,9,911.81,0.47
10000,0.75,10,10,861.39,0.47
10000,0.75,50,1,714.94,2.32
10000,0.75,50,2,799.70,2.33
10000,0.75,50,3,779.59,2.32
10000,0.75,50,4,696.88,2.33
10000,0.75,50,5,663.60,2.33
10000,0.75,50,6,768.95,2.31
10000,0.75,50,7,734.84,2.32
10000,0.75,50,8,785.16,2.33
10000,0.75,50,9,655.99,2.33
10000,0.75,50,10,678.87,2.33
10000,0.75,100,1,679.91,4.64
10000,0.75,100,2,674.16,4.64
10000,0.75,100,3,648.59,4.65
10000,0.75,100,4,631.49,4.63
10000,0.75,100,5,638.65,4.72
10000,0.75,100,6,635.14,4.63
10000,0.75,100,7,687.28,4.62
10000,0.75,100,8,628.72,4.64
10000,0.75,100,9,618.35,4.71
10000,0.75,100,10,638.51,4.64
10000,0.90,5,1,906.94,0.64
10000,0.90,5,2,893.51,0.64
10000,0.90,5,3,954.49,0.64
10000,0.90,5,4,879.01,0.63
10000,0.90,5,5,887.94,0.63
10000,0.90,5,6,900.41,0.63
10000,0.90,5,7,862.27,0.63
10000,0.90,5,8,923.69,0.63
10000,0.90,5,9,924.56,0.64
10000,0.90,5,10,876.32,0.63
10000,0.90,10,1,778.03,1.27
10000,0.90,10,2,789.22,1.27
10000,0.90,10,3,771.91,1.26
10000,0.90,10,4,789.59,1.27
10000,0.90,10,5,746.61,1.27
10000,0.90,10,6,835.41,1.26
10000,0.90,10,7,780.71,1.26
10000,0.90,10,8,809.57,1.26
10000,0.90,10,9,807.19,1.26
10000,0.90,10,10,817.22,1.26
10000,0.90,50,1,575.79,6.24
10000,0.90,50,2,639.41,6.24
10000,0.90,50,3,699.95,6.25
10000,0.90,50,4,575.44,6.24
10000,0.90,50,5,568.15,6.23
10000,0.90,50,6,577.95,6.24
10000,0.90,50,7,545.91,6.24
10000,0.90,50,8,587.23,6.23
10000,0.90,50,9,620.31,6.24
10000,0.90,50,10,563.07,6.25
10000,0.90,100,1,593.28,12.45
10000,0.90,100,2,558.16,12.50
10000,0.90,100,3,626.49,12.51
10000,0.90,100,4,532.58,12.44
10000,0.90,100,5,546.66,12.46
10000,0.90,100,6,568.14,12.43
10000,0.90,100,7,537.72,12.46
10000,0.90,100,8,551.25,12.46
10000,0.90,100,9,597.86,12.45
10000,0.90,100,10,658.90,12.43
10000,1.00,5,1,476.10,65.68
10000,1.00,5,2,495.45,65.98
10000,1.00,5,3,487.28,65.10
10000,1.00,5,4,537.69,65.22
10000,1.00,5,5,500.23,65.22
10000,1.00,5,6,484.71,65.12
10000,1.00,5,7,522.74,65.15
10000,1.00,5,8,523.37,65.11
10000,1.00,5,9,482.56,65.14
10000,1.00,5,10,516.10,65.33
10000,1.00,10,1,468.42,130.37
10000,1.00,10,2,494.22,130.15
10000,1.00,10,3,517.60,130.88
10000,1.00,10,4,501.45,130.22
10000,1.00,10,5,469.99,130.17
10000,1.00,10,6,492.60,130.19
10000,1.00,10,7,475.43,130.14
10000,1.00,10,8,498.02,130.29
10000,1.00,10,9,484.78,130.33
10000,1.00,10,10,507.50,130.06
10000,1.00,50,1,458.46,651.07
10000,1.00,50,2,472.36,651.19
10000,1.00,50,3,482.41,650.30
10000,1.00,50,4,454.08,652.32
10000,1.00,50,5,458.66,650.65
10000,1.00,50,6,471.81,649.83
10000,1.00,50,7,442.30,651.27
10000,1.00,50,8,464.48,650.27
10000,1.00,50,9,486.94,650.17
10000,1.00,50,10,475.03,650.52
10000,1.00,100,1,472.48,1300.18
10000,1.00,100,2,470.61,1301.72
10000,1.00,100,3,455.53,1301.04
10000,1.00,100,4,458.02,1301.02
10000,1.00,100,5,449.25,1303.79
10000,1.00,100,6,461.14,1301.42
10000,1.00,100,7,462.59,1299.96
10000,1.00,100,8,468.64,1301.26
10000,1.00,100,9,478.72,1302.92
10000,1.00,100,10,458.58,1300.20
